,original,alias
158,MRPL12,MRPL12
159,PNP,PNP
160,CEBPA,CEBPA
161,PSMF1,PSMF1
162,USP1,USP1
163,RPA1,RPA1
164,KLHDC2,KLHDC2
165,SCARB1,SCARB1
166,TPM1,TPM1
167,TM9SF2,TM9SF2
168,ATF6,ATF6
169,NUP88,NUP88
170,FUT1,FUT1
171,PRUNE,PRUNE
172,SYPL1,SYPL1
173,ZNF451,ZNF451
174,RALB,RALB
175,TRIM13,TRIM13
176,FBXO7,FBXO7
177,PPARD,PPARD
178,ENOSF1,ENOSF1
179,STAT3,STAT3
180,LIG1,LIG1
181,GNB5,GNB5
182,INSIG1,INSIG1
183,DNMT3A,DNMT3A
184,HIST2H2BE,HIST2H2BE
185,S100A4,S100A4
186,KTN1,KTN1
187,ARHGAP1,ARHGAP1
188,LPAR2,LPAR2
189,COASY,COASY
190,RASA1,RASA1
191,ATMIN,ATMIN
192,CASP3,CASP3
193,PSME2,NotFound5
194,NISCH,NISCH
195,CPSF4,CPSF4
196,COPB2,COPB2
197,GADD45A,GADD45A
198,SMNDC1,SMNDC1
199,NUDCD3,NUDCD3
200,FGFR2,FGFR2
201,HMGCR,HMGCR
202,SLC35B1,SLC35B1
203,TIMP2,TIMP2
204,LSM6,LSM6
205,CALM3,PICALM
206,SACM1L,SACM1L
207,TCERG1,TCERG1
208,KIAA0196,KIAA0196
209,DNM1,DNM1
210,DDIT4,DDIT4
211,ALAS1,ALAS1
212,PAFAH1B1,PAFAH1B1
213,PSRC1,PSRC1
214,ERO1L,ERO1L
215,APOE,APOE
216,RBM15B,RBM15B
217,TOMM70A,TOMM70A
218,CBR1,CBR1
219,PRKCD,PRKCD
220,PIK3R4,PIK3R4
221,CSNK1E,CSNK1E
222,JUN,JUN
223,TMEM50A,TMEM50A
224,SCCPDH,SCCPDH
225,TSC22D3,TSC22D3
226,TFAP2A,TFAP2A
227,ZNF395,ZNF395
228,VPS72,VPS72
229,CLSTN1,CLSTN1
230,MAPK9,MAPK9
231,SKP1,SKP1
232,POP4,POP4
233,NFE2L2,NFE2L2
234,BLCAP,BLCAP
235,FAM20B,FAM20B
236,PROS1,PROS1
237,CRKL,CRKL
238,ZNF318,ZNF318
239,FDFT1,FDFT1
240,TRAP1,TRAP1
241,GTF2A2,GTF2A2
242,PSMD9,PSMD9
243,MTFR1,MTFR1
244,UBE2A,UBE2A
245,NIT1,NIT1
246,SYNGR3,SYNGR3
247,NFKB2,NFKB2
248,STK25,STK25
249,ABCF3,ABCF3
250,FCHO1,FCHO1
251,OXSR1,OXSR1
252,SMARCC1,SMARCC1
253,PAK6,PAK6
254,GHR,GHR
